"HIBU 205005 Ingenioer elektro Kongsberg","Alle"
"HIBU 205012 Ingenioer maskin Kongsberg","Alle"
"NTNU 194104 Afrikastudier aarsstudium",33.8
"NTNU 194109 Yrkesfaglaererutd. bygg- og anleggsteknikk","Alle"
"NTNU 194123 Yrkesfaglaererutdanning helse- og sosialfag","Alle"
"NTNU 194129 Yrkesfaglaererutdanning teknikk og industriell prod","Alle"
"NTNU 194170 Engelsk aarsstudium",42.9
"NTNU 194171 Raadgiving og voksnes laering","Alle"
"NTNU 194174 Fransk aarsstudium","Alle"
"NTNU 194179 Historie aarsstudium",40.0
"NTNU 194184 Biologi og kjemi aarsstudium",51.1
"NTNU 194188 Informatikk aarsstudium","Alle"
"NTNU 194200 Kunsthistorie","Alle"
"NTNU 194205 Matematikk og statistikk aarsstudium",47.6
"NTNU 194210 Nordisk aarsstudium","Alle"
"NTNU 194220 Pedagogikk aarsstudium",39.2
"NTNU 194238 Statsvitenskap aarsstudium",46.1
"NTNU 194239 Samfunnsoekonomi aarsstudium",45.0
"NTNU 194240 Sosiologi aarsstudium",44.1
"NTNU 194242 Studier av kunnskap teknologi og samfunn (STS)",41.8
"NTNU 194244 Tysk aarsstudium","Alle"
"NTNU 194272 Kunsthistorie aarsstudium","Alle"
"NTNU 194284 Geografi aarsstudium",39.9
"NTNU 194285 Samfunnskunnskap aarsstudium",42.2
"NTNU 194294 Latin","Alle"
"NTNU 194324 Emnestudier samfunnsvitenskap",41.1
"NTNU 194327 Biologi",49.4
"NTNU 194366 Filosofi aarsstudium",41.9
"NTNU 194367 Sosialantropologi aarsstudium",43.0
"NTNU 194395 Informatikk",44.3
"NTNU 194437 Musikkvitenskap","Alle"
"NTNU 194438 Geografi",30.0
"NTNU 194439 Drama og teater",41.2
"NTNU 194440 Bevegelsesvitenskap",44.7
"NTNU 194456 Allmenn litteraturvitenskap","Alle"
"NTNU 194457 Lingvistikk","Alle"
"NTNU 194459 Antikkens kultur","Alle"
"NTNU 194476 Musikkteknologi",45.6
"NTNU 194478 Arkeologi",39.1
"NTNU 194479 Filosofi",34.8
"NTNU 194481 Historie",33.5
"NTNU 194486 Samfunns- og idrettsvitenskap",42.4
"NTNU 194615 Allmenn litteraturvitenskap aarsstudium","Alle"
"NTNU 194626 Kristendomsk. med religions- og livssynsk.","Alle"
"NTNU 194646 Film- og videoproduksjon",46.6
"NTNU 194649 Kroppsoeving og idrett aarsstudium",51.8
"NTNU 194684 Lektorutdanning i historie",49.5
"NTNU 194685 Lektorutdanning spraakfag/engelsk",44.3
"NTNU 194686 Lektorutdanning spraakfag/fransk","Alle"
"NTNU 194687 Lektorutdanning spraakfag/nordisk",45.8
"NTNU 194689 Lektorutdanning spraakfag/tysk","Alle"
"NTNU 194715 Emnestudier humaniora aarsstudium","Alle"
"NTNU 194740 Medisin",58.4
"NTNU 194752 Psykologi aarsstudium",48.0
"NTNU 194755 Materialteknologi",51.9
"NTNU 194756 Arkitekt",52.7
"NTNU 194757 Petroleumsfag",51.9
"NTNU 194759 Bygg- og miljoeteknikk",51.9
"NTNU 194760 Datateknikk",50.9
"NTNU 194761 Elektronikk",47.8
"NTNU 194763 Fysikk og matematikk",56.5
"NTNU 194764 Industriell kjemi og bioteknologi",52.6
"NTNU 194765 Marin teknikk",53.1
"NTNU 194766 Produktutvikling og produksjon",52.8
"NTNU 194767 Industriell oekonomi og teknologiledelse",58.9
"NTNU 194768 Industriell design",54.4
"NTNU 194769 Energi og miljoe",54.6
"NTNU 194770 Kommunikasjonsteknologi",49.6
"NTNU 194786 Europastudier med fremmedspraak spansk","Alle"
"NTNU 194793 Europastudier med fremmedspraak fransk","Alle"
"NTNU 194795 Europastudier med fremmedspraak tysk","Alle"
"NTNU 194798 Teknisk kybernetikk",51.5
"NTNU 194818 Samfunnsoekonomi master",46.6
"NTNU 194843 Lektorutdanning i realfag",48.6
